Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
45.0,0,0,897.7,534.1,990.9,576.5,eye,mouth_nose,"[ 1.93913888e-01 -6.66236860e-02  1.59396697e-01  1.67509290e-01  9.51123342e-02  1.39266465e-01  1.71817870e+04  5.59564644e+02  2.64719245e+03  6.09298790e+03  2.06260082e+02  9.46129117e+02  6.55375209e+01  1.02391406e+02  3.60000000e-02]"
45.0,0,1,982.0,575.8,905.3,545.2,mouth_nose,eye,"[ 5.73386090e+00  1.56067793e+00  1.65579372e+00  1.24989078e+00  5.65424490e-01  1.00059801e+00  6.97101090e+03  7.51922780e+01  3.58877207e+03  3.49516382e+03  1.53566932e+02  1.80527008e+03 -1.11749873e+02  8.25787503e+01  1.30000000e-02]"
45.0,0,2,895.3,541.0,863.0,520.9,eye,eye,"[ 1.17346797e+03 -1.99400962e-01  3.21672310e+00  2.14403436e+02  1.47561040e+00  2.54397476e+00  1.64033246e+04 -3.30132389e+00  1.00306123e+03  6.74740806e+03  7.48324111e+00  6.25789639e+02 -1.21893633e+02  3.80433963e+01  6.80000000e-02]"
45.0,0,3,864.6,526.2,903.9,553.6,eye,mouth_nose,"[ 2.63155578e-01 -4.63802627e-02  1.87284936e-01  2.29975098e-01  9.57402509e-02  1.58977312e-01  1.28880720e+04  5.19529170e+02  3.16439286e+03  5.37461994e+03  2.05139839e+02  1.34757947e+03  5.51157522e+01  4.79087675e+01  2.20000000e-02]"
45.0,0,4,907.4,534.8,951.4,505.2,eye,eye,"[ 1.18824254e-01 -4.45657276e-01  5.14906879e+00  9.93910097e-02  2.65167993e-01  1.74901104e+00  1.48332356e+04 -2.55968489e+02  9.27393248e+02  7.05623660e+03  1.98524843e+02  5.04924777e+02  1.23929797e+02  5.30298029e+01  1.30000000e-02]"
45.0,0,5,961.9,509.6,837.0,488.6,eye,eye,"[ 5.94813362e+00  6.78146120e-01  6.70742426e-01  1.17099988e+00  4.63039645e-01  5.04994399e-01  4.55142003e+03  1.81958526e+02  2.05916228e+03  1.94045651e+03  1.16167886e+02  8.66489098e+02 -9.95441308e+01  1.26653109e+02  2.30000000e-02]"
45.0,0,6,832.9,493.5,984.3,482.3,eye,eye,"[ 5.46402753e-01 -1.10977004e+00  3.05318819e+00  2.62906477e-01  3.69187213e-01  1.19273715e+00  3.71948668e+04 -2.33807633e+02  1.56217731e+03  1.44027924e+04  2.73614457e+02  6.42866254e+02  9.42308188e+01  1.51813702e+02  2.60000000e-02]"
45.0,0,7,986.9,476.9,947.2,495.0,eye,eye,"[ 6.65233358e+00 -3.08122206e+00  1.98964369e+00  1.49564733e+00  8.23415290e-01  8.81992423e-01  4.65167248e+03 -5.41037458e+01  7.18410588e+02  2.53662341e+03  1.29283729e+02  4.47935994e+02 -6.54908376e+01  4.36314107e+01  9.00000000e-03]"
45.0,0,8,939.2,497.8,795.5,521.0,eye,out,"[ 8.07772572e+00 -1.30971991e+00  5.26070022e-01  2.09373559e+00  6.18011247e-01  3.45395117e-01  1.18247781e+04 -3.62799653e+02  1.88132482e+03  4.79690236e+03  1.55629753e+02  8.02184112e+02 -8.08288781e+01  1.45560743e+02  2.40000000e-02]"
45.0,0,9,799.4,521.4,914.1,589.1,out,mouth_nose,"[ 1.44652048e-01 -3.56878969e-02  1.33568619e-01  1.24993974e-01  7.04951420e-02  1.18213599e-01  1.65657236e+04  6.03298696e+02  5.34967319e+03  5.71002058e+03  1.89685729e+02  1.86764473e+03  5.94493916e+01  1.33189264e+02  4.10000000e-02]"
45.0,0,10,910.9,583.4,899.1,528.4,mouth_nose,eye,"[ 4.00118102e-01  1.36519378e-01  4.31688180e+00  3.47912940e-01  3.75341131e-01  1.38850784e+00  2.05672641e+03  1.97706575e+02  3.33164940e+03  8.78418446e+02  1.03737171e+02  1.43393382e+03 -1.67891015e+02  5.62515778e+01  2.20000000e-02]"
45.0,0,11,905.2,533.4,966.2,507.4,eye,eye,"[ 2.67475437e-01 -7.14145614e-01  2.78398603e+00  1.52014595e-01  2.52295806e-01  9.40674274e-01  5.32369150e+03 -2.72779448e+02  1.09149588e+03  1.89447389e+03  1.33633443e+02  3.94856537e+02  1.13085134e+02  6.63098786e+01  3.50000000e-02]"
45.0,0,12,968.3,505.1,813.0,513.0,eye,out,"[ 7.92065559e+00 -4.16580495e-01  1.83090836e-01  2.06411578e+00  4.65141428e-01  1.46427957e-01  5.18744006e+03 -1.02420663e+02  1.02232097e+03  2.40212634e+03  9.20476015e+01  4.63790564e+02 -8.70879148e+01  1.55500804e+02  2.30000000e-02]"
45.0,0,13,810.8,518.5,912.3,631.6,out,mouth_nose,"[ 1.64203050e-01 -4.13330297e-02  1.70836420e-01  1.33184101e-01  8.65388613e-02  1.53280196e-01  1.86006331e+04  6.67776387e+02  1.53153560e+04  6.37544935e+03  2.22155391e+02  5.46989063e+03  4.19059419e+01  1.51966641e+02  3.70000000e-02]"
45.0,0,14,910.9,626.0,896.6,507.8,mouth_nose,eye,"[ 2.18608151e-01  2.25439819e-01  5.23667223e+00  1.41178786e-01  2.76849377e-01  1.60469594e+00  4.61943064e+02 -6.80927062e+01  6.87205007e+03  1.60510606e+02  5.45638513e+01  2.44862723e+03 -1.73101802e+02  1.19061875e+02  3.90000000e-02]"
45.0,0,15,900.5,501.0,707.5,919.7,eye,out,"[ 9.91829036e+00 -4.62278774e+00  2.32945710e+00  2.92791855e+00  9.47985335e-01  6.42528252e-01  1.07626611e+04 -3.88936286e+02  4.08073992e+04  3.72946583e+03  1.61267348e+02  1.44957690e+04 -2.47473654e+01  4.61040877e+02  5.10000000e-02]"
45.0,0,16,717.7,918.7,909.1,973.1,out,out,"[ 6.13253708e-01 -2.33169751e-01  1.90699898e-01  3.62405944e-01  1.75922797e-01  1.58920201e-01  3.16963605e+04  7.73425465e+02  2.54968783e+03  1.10883894e+04  2.22249721e+02  9.08633125e+02  7.41337091e+01  1.98980703e+02  4.00000000e-02]"
45.0,0,17,911.9,974.1,895.9,1032.0,out,out,"[ 1.90643858e+00 -4.91299926e-01  3.81460150e-01  6.66768833e-01  3.45673084e-01  2.97742918e-01  1.97068483e+03 -1.49096358e+02  1.99604806e+04  9.85473135e+02  1.08491455e+02  9.07286226e+03 -1.54475261e+01  6.00700425e+01  1.50000000e-02]"
45.0,0,18,900.6,1020.2,852.2,564.7,out,out,"[ 3.56961387e-01  8.45888424e-01  1.18842651e+01  2.07219579e-01  5.66107297e-01  4.83360916e+00  2.36419585e+03 -1.44960614e+01  1.85778773e+04  8.01726786e+02  8.84195340e+01  7.14594428e+03 -1.73934689e+02  4.58064199e+02  4.80000000e-02]"
45.0,1,0,897.6,517.5,862.5,498.8,eye,eye,"[ 2.98836999e+01 -2.58221249e+01  4.37731238e+01  1.29666714e+01  7.64733575e+00  1.57611435e+01  4.15029877e+04 -9.65461405e+02  2.49512470e+04  1.42033172e+04  1.91441495e+02  9.75322711e+03 -1.18047064e+02  3.97705922e+01  2.30000000e-02]"
45.0,1,1,858.8,503.3,830.1,503.4,eye,eye,"[ 4.25528424e+00 -9.97782944e-02  2.43239590e-01  9.43916371e-01  2.94716878e-01  2.02762375e-01  1.74968474e+03  2.23303132e+01  3.29926160e+02  1.04630862e+03  8.61900753e+01  1.97851298e+02 -8.98003639e+01  2.87001742e+01  9.00000000e-03]"
45.0,1,2,830.6,509.9,958.8,481.7,eye,eye,"[ 3.89339773e-01 -1.13611030e+00  4.15658214e+00  1.68934293e-01  2.85956687e-01  9.56802747e-01  2.20821197e+04 -6.91801803e+01  7.79133734e+02  8.43991531e+03  2.11530429e+02  3.15995187e+02  1.02405713e+02  1.31264923e+02  2.80000000e-02]"
45.0,1,3,959.5,490.6,670.9,958.5,eye,out,"[ 1.21097235e+01 -4.99771241e+00  2.23220291e+00  4.15851279e+00  1.14498216e+00  6.55782841e-01  1.53315463e+04 -4.65106533e+02  4.00698150e+04  5.47564032e+03  1.72058964e+02  1.38980590e+04 -3.16662216e+01  5.49745732e+02  5.80000000e-02]"
45.0,1,4,688.5,963.7,910.6,940.6,out,out,"[ 2.11942172e+00 -2.30252734e+00  2.71854356e+00  5.88748851e-01  3.84328437e-01  5.06591215e-01  3.86549588e+04 -4.20769285e+01  1.12758012e+03  1.38072739e+04  2.21123248e+02  4.07604637e+02  9.59378244e+01  2.23298052e+02  4.20000000e-02]"
